CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,LANDMIX,VC_EMPDEN,VC_POPDEN,AVGDA,SMLDA,POPDEN,EMPDEN,INTERDEN,PERC4INTER,SPRAWL
5350010.02,10.02,35,Ontario,535,35535,Toronto,B,0.498608766,0.838352816,0.747437403,0.024633743,60.67998543,34911.46335,24469.59802,166.8894243,45.94594595,1.424
5350400.15,400.15,35,Ontario,535,35535,Toronto,B,0.426511391,0.339497897,0.370218162,0.125142124,15.28974975,5284.277525,2705.495298,67.35199265,11.86440678,-0.005275
3200022,22,13,New Brunswick / Nouveau-Brunswick,320,13320,Fredericton,K,0.005014726,0.97405599,1.036434454,38.5291435,0,16.90927804,9.440905427,0.441224446,2.941176471,-1.452
3200023,23,13,New Brunswick / Nouveau-Brunswick,320,13320,Fredericton,K,0.11319099,1.445794642,1.471071115,12.68503054,0,59.69240654,30.35073497,2.412292182,5.555555556,-1.317
3200024,24,13,New Brunswick / Nouveau-Brunswick,320,13320,Fredericton,K,0.007959904,1.908777961,1.845018596,71.91447475,0,10.6967339,5.292745325,0.330253403,3.157894737,-1.513
7050100.12,100.12,47,Saskatchewan,705,47705,Regina,B,0.307152748,0.403435047,0.456117791,0.545296214,0,2543.047707,1426.485501,35.10542832,23.13432836,-0.3409
7050100.13,100.13,47,Saskatchewan,705,47705,Regina,B,0.400030808,0.528792508,0.486757425,0.36506116,4.474473673,2049.580465,1101.794072,28.91448532,25.26315789,-0.4208
8250206.07,206.07,48,Alberta,825,48825,Calgary,B,0.350459306,0.392880833,0.413109719,0.118829574,8.915243989,6840.679256,3502.915873,84.15413509,11.25,0.1258
4620706,706,24,Quebec / Québec,462,24462,Montréal,B,0.544904446,0.507887781,0.394704642,0.090720948,5.441159857,7050.925738,3600.785421,157.993646,33.72093023,0.1536
3200002,2,13,New Brunswick / Nouveau-Brunswick,320,13320,Fredericton,K,0.46532937,0.608697865,0.495354337,0.13631937,5.010826801,3997.9645,2151.809639,69.68928946,31.57894737,-0.1387
3200003,3,13,New Brunswick / Nouveau-Brunswick,320,13320,Fredericton,K,0.68610562,0.673623903,0.583407507,0.117996717,9.617191634,4603.033623,2560.603922,93.2229324,37.66233766,-0.05471
8250206.06,206.06,48,Alberta,825,48825,Calgary,B,0.383389056,NA,NA,0.990566157,0,4098.666171,2175.523547,81.77141869,22.22222222,-0.1515
3200001,1,13,New Brunswick / Nouveau-Brunswick,320,13320,Fredericton,K,0.765872018,NA,NA,0.411002961,0,1418.481264,705.5910234,104.6221173,46.51162791,-0.5538
4620653,653,24,Quebec / Québec,462,24462,Montréal,B,0.124516896,0.029525111,0.044364139,0.11659596,0,4082.474209,2058.390357,128.6493973,10,0
4620654,654,24,Quebec / Québec,462,24462,Montréal,B,0.505380172,NA,NA,0.673857638,0,1104.090773,519.397541,37.09982436,16,-0.6606
4620707,707,24,Quebec / Québec,462,24462,Montréal,B,0.626222608,0.428531106,0.350990568,0.092100593,11.01997537,6319.177585,2687.279128,213.0822339,26.75159236,0.0691
8250206.08,206.08,48,Alberta,825,48825,Calgary,B,0.377151059,NA,NA,2.007355105,0,3145.930674,1651.426791,40.84977281,26.82926829,-0.2913
7050100.14,100.14,47,Saskatchewan,705,47705,Regina,B,0.039607582,1.715222561,1.710905082,85.58415244,0,6.321263745,3.291107742,0.685485163,43.75,-1.482
5350528.36,528.36,35,Ontario,535,35535,Toronto,B,0.137302642,0.411800801,0.32211983,0.056358698,15.54234921,18220.34649,8594.503063,88.71745097,10,0.6953
5350528.37,528.37,35,Ontario,535,35535,Toronto,B,0.541032357,0.780187717,0.776056631,1.154796964,1.568141398,2463.636544,1281.610575,25.6899417,16.85393258,-0.3749
8250206.09,206.09,48,Alberta,825,48825,Calgary,B,0.009065938,NA,NA,1.505085248,0,3777.8591,2056.361927,71.75673282,27.77777778,-0.1965
4620729,729,24,Quebec / Québec,462,24462,Montréal,B,0.347558776,0.180041382,0.137780742,0.098981572,0,6381.65924,3216.086847,122.9185025,16.43835616,0.09713
3200005,5,13,New Brunswick / Nouveau-Brunswick,320,13320,Fredericton,K,0.516562873,1.133433443,0.948059214,0.267913668,0,1692.087367,814.9391364,47.27891173,7.894736842,-0.5235
3200007,7,13,New Brunswick / Nouveau-Brunswick,320,13320,Fredericton,K,0.265955567,0.819201196,0.820999516,1.545032825,0,440.3358442,221.6781381,10.14002189,8.510638298,-0.9237
