GEOUID,PROV,EMP15
10010744,10,160
10010745,10,25
10010746,10,25
10010747,10,115
10010748,10,110
10010749,10,0
10010750,10,160
10010751,10,140
10010752,10,115
10010753,10,210
10010754,10,160
10010755,10,100
10010756,10,95
10010757,10,130
10010758,10,85
10010759,10,75
10010760,10,110
10010761,10,255
10010762,10,215
10010764,10,270
10010765,10,150
10010766,10,120
10010767,10,260
10010768,10,385
10010769,10,395
10010770,10,280
10010771,10,380
10010772,10,375
10010773,10,220
10010774,10,290
10010775,10,765
10010776,10,435
10010777,10,395
10010778,10,330
10010779,10,180
10010780,10,295
10010781,10,665
10010782,10,270
10010783,10,205
10010784,10,210
10010785,10,620
10010786,10,250
10010787,10,455
10010788,10,170
10010789,10,350
10010790,10,490
10010791,10,65
10010792,10,495
10010793,10,365
10010794,10,245
10010795,10,285
10010796,10,310
10010798,10,265
10010799,10,320
10010800,10,310
10010801,10,825
10010802,10,255
10010803,10,235
10010804,10,435
10010805,10,500
10010806,10,265
10010807,10,150
10010808,10,145
10010809,10,240
10010810,10,80
10010811,10,75
10010812,10,1290
10010813,10,515
10010814,10,550
10010815,10,390
10010817,10,730
10010818,10,625
10010820,10,235
10010821,10,215
10010822,10,260
10010823,10,235
10010824,10,350
10010825,10,850
10010826,10,305
10010827,10,715
1002,10,7715
10020079,10,165
10020081,10,220
10020082,10,55
10020083,10,105
10020084,10,35
10020085,10,120
10020086,10,90
10020087,10,20
10020088,10,75
10020089,10,175
10020091,10,165
10020092,10,75
10020093,10,60
10020094,10,195
10020096,10,140
10020097,10,205
10020098,10,530
10020099,10,315
10020101,10,80
10020102,10,85
10020103,10,150
10020104,10,340
10020105,10,120
10020106,10,115
10020107,10,280
10020108,10,110
10020110,10,265
10020111,10,210
10020112,10,240
10020113,10,100
10020114,10,305
10020115,10,110
10020116,10,190
10020117,10,65
10020118,10,180
10020119,10,95
10020120,10,145
10020122,10,160
10020123,10,135
10020124,10,75
10020125,10,50
10020126,10,60
10020127,10,35
10020128,10,165
10020129,10,175
10020130,10,155
10020131,10,100
10020132,10,150
10020133,10,90
10020134,10,115
10020135,10,145
10020136,10,130
10020137,10,0
1003,10,5605
10030057,10,70
10030058,10,195
10030059,10,55
10030060,10,95
10030062,10,100
10030063,10,165
10030064,10,35
10030066,10,110
10030067,10,120
10030068,10,545
10030069,10,60
10030070,10,90
10030071,10,45
10030072,10,130
10030073,10,50
10030074,10,140
10030075,10,100
10030076,10,75
10030077,10,25
10030078,10,135
10030079,10,15
10030080,10,100
10030081,10,105
10030082,10,250
10030083,10,85
10030084,10,55
10030085,10,250
10030086,10,245
10030087,10,540
10030088,10,100
10030089,10,190
10030090,10,50
10030091,10,110
10030092,10,265
10030093,10,185
10030094,10,30
10030095,10,95
10030096,10,210
10030097,10,170
10030098,10,215
1004,10,6410
10040078,10,100
10040079,10,210
10040080,10,175
10040081,10,130
10040082,10,140
10040083,10,55
10040084,10,105
10040085,10,165
10040086,10,215
10040087,10,205
10040088,10,200
10040089,10,140
10040090,10,190
10040091,10,450
10040092,10,115
10040093,10,260
10040094,10,145
10040095,10,235
10040096,10,135
10040097,10,100
10040098,10,145
10040099,10,50
10040100,10,145
10040101,10,75
10040102,10,95
10040103,10,40
10040104,10,175
10040105,10,155
10040106,10,85
10040107,10,90
10040108,10,110
10040109,10,85
10040110,10,150
10040111,10,130
10040112,10,150
10040113,10,155
10040114,10,225
10040115,10,170
10040116,10,235
10040117,10,80
10040118,10,95
10040119,10,140
10040120,10,130
1005,10,16120
10050076,10,105
10050077,10,150
10050078,10,95
10050079,10,45
10050080,10,255
10050081,10,145
10050082,10,170
10050083,10,170
10050084,10,175
10050085,10,150
10050086,10,180
10050087,10,170
10050088,10,205
10050089,10,325
10050090,10,250
10050092,10,180
10050093,10,240
10050094,10,150
10050095,10,295
10050096,10,150
10050097,10,305
10050098,10,200
10050099,10,140
10050100,10,200
10050101,10,690
10050102,10,265
10050103,10,150
10050104,10,185
10050105,10,195
10050106,10,255
10050107,10,90
10050108,10,180
10050109,10,100
10050110,10,140
10050111,10,165
10050112,10,220
10050113,10,215
10050114,10,225
10050115,10,135
10050116,10,340
10050117,10,135
10050118,10,300
10050119,10,185
10050120,10,160
10050121,10,250
10050123,10,110
10050124,10,265
