CTUID,PROV,Employed 
4620591.02,24,1670
4620592,24,3005
4620593.01,24,1380
4620593.02,24,1880
4620594.01,24,1240
4620594.02,24,3360
4620600.01,24,1595
4620600.02,24,1565
4620600.03,24,2095
4620601.01,24,1260
4620601.02,24,1865
4620602.01,24,1275
4620602.02,24,1125
4620603.01,24,1460
4620603.02,24,1450
4620603.03,24,1320
4620604.01,24,1440
4620604.02,24,1765
4620604.03,24,1110
4620604.04,24,1575
4620604.05,24,1895
4620605.01,24,1345
4620605.02,24,930
4620605.03,24,2325
4620605.04,24,2045
4620605.05,24,970
4620610.01,24,1695
4620610.02,24,1890
4620610.03,24,1755
4620610.04,24,1425
4620610.05,24,1285
4620610.06,24,1175
4620610.07,24,930
4620611.01,24,1305
4620611.02,24,2185
4620612,24,1505
4620613,24,2550
4620614,24,1500
4620615,24,2240
4620616,24,2460
4620617.01,24,2170
4620617.02,24,1860
4620618,24,1345
4620619,24,1905
4620625.01,24,3050
4620625.02,24,3665
4620626,24,3220
4620627,24,2630
4620628.01,24,2155
4620628.02,24,1870
4620629,24,1645
4620630.01,24,1875
4620630.02,24,2420
4620631,24,3760
4620632.01,24,2445
4620632.02,24,2430
4620632.03,24,2405
4620632.04,24,4030
4620633,24,2320
4620634,24,1295
4620635,24,2160
4620636,24,3325
4620637.01,24,2420
4620637.02,24,2230
4620638.01,24,2905
4620638.02,24,955
4620638.03,24,1890
4620638.04,24,2995
4620639,24,1760
4620640,24,1775
4620641.01,24,3505
4620641.02,24,1515
4620642,24,3385
4620643.01,24,1935
4620643.02,24,1920
4620643.03,24,2555
4620644,24,640
4620645,24,1665
4620646.01,24,1290
4620646.02,24,1585
4620646.03,24,1245
4620647.01,24,950
4620647.02,24,2810
4620648,24,2115
4620649.01,24,1265
4620649.02,24,2530
4620650.01,24,2010
4620650.02,24,1630
4620650.03,24,5420
4620651.01,24,3185
4620651.02,24,3665
4620652.01,24,4165
4620652.04,24,2185
4620652.06,24,2205
4620652.07,24,4250
4620652.08,24,2605
4620652.09,24,2305
4620653,24,535
4620654,24,460
4620655.01,24,2180
4620655.02,24,3480
4620656.01,24,3580
4620656.03,24,2105
4620656.04,24,3550
4620657.01,24,1910
4620657.02,24,3015
4620657.03,24,2505
4620658.01,24,2285
4620658.02,24,1710
4620658.03,24,4340
4620659.04,24,2320
4620659.05,24,4215
4620659.06,24,2055
4620659.08,24,3505
4620659.09,24,1605
4620659.1,24,1910
4620659.11,24,3110
4620660.01,24,3145
4620660.02,24,2805
4620660.03,24,3705
4620661.01,24,4645
4620661.03,24,2470
4620661.04,24,2620
4620662,24,2600
4620675,24,2225
4620676.01,24,1580
4620676.02,24,1250
4620676.03,24,1110
4620676.04,24,1580
4620677.01,24,3000
4620677.02,24,2625
4620677.05,24,2765
4620677.06,24,3600
4620677.07,24,2410
4620677.08,24,4345
4620677.09,24,2455
4620677.1,24,2170
4620681,24,1825
4620682.02,24,1275
4620682.03,24,4610
4620682.04,24,1915
4620682.05,24,1785
4620682.06,24,2640
4620683,24,2845
4620684.03,24,4210
4620684.05,24,3005
4620684.08,24,3335
4620684.09,24,1745
4620684.1,24,2095
4620684.11,24,2505
4620685.02,24,2210
4620685.03,24,2745
4620685.04,24,1805
4620685.05,24,2415
4620685.06,24,7105
4620686.01,24,3030
4620686.02,24,2175
4620686.03,24,1955
4620687.01,24,2405
4620687.03,24,4990
4620687.04,24,2760
4620687.06,24,3350
4620687.07,24,3370
4620687.09,24,1800
4620687.1,24,4625
4620688.02,24,1440
4620688.03,24,2585
4620688.04,24,3070
4620689.01,24,2900
4620689.02,24,2020
4620689.03,24,4440
4620689.04,24,2960
4620690,24,3505
4620691,24,3320
4620692,24,4950
4620693,24,2460
4620694,24,3400
4620700.01,24,2070
4620700.03,24,1395
4620700.04,24,2420
4620701.01,24,1800
4620701.02,24,3475
4620702.01,24,1355
4620702.02,24,3720
4620703.02,24,1935
4620703.03,24,2415
4620703.04,24,3015
4620704.01,24,2400
4620704.04,24,2720
4620704.05,24,3760
4620704.06,24,900
4620704.08,24,1875
4620704.09,24,2490
4620705.01,24,1870
4620705.02,24,2425
4620706,24,1805
4620707,24,2190
4620708.01,24,2555
4620708.02,24,1995
4620709.01,24,4135
4620709.02,24,3205
4620710.03,24,4435
4620710.05,24,3285
4620710.06,24,2025
4620710.07,24,2645
4620710.08,24,2425
4620710.09,24,2955
4620710.1,24,2570
4620710.11,24,1760
4620725.03,24,1870
4620725.04,24,1885
4620725.06,24,1025
4620725.07,24,3610
4620725.08,24,4685
4620726.01,24,3265
4620726.03,24,2390
4620726.04,24,1075
4620727.01,24,1395
4620727.02,24,1865
4620728.01,24,3770
4620728.02,24,2185
4620728.03,24,1435
4620729,24,1755
4620730.01,24,5330
4620730.02,24,3380
4620731,24,3495
4620732.01,24,3620
4620732.02,24,1860
4620733,24,3230
4620734.01,24,5305
4620734.03,24,2980
4620734.04,24,2040
4620734.05,24,2635
4620735.01,24,3525
4620735.02,24,4110
4620740.01,24,980
4620740.02,24,6980
4620750.01,24,2795
4620750.02,24,3250
4620750.04,24,1095
4620750.05,24,5660
4620751.01,24,3540
4620751.02,24,4250
4620755.01,24,4125
4620755.02,24,4680
4620756.02,24,560
4620756.03,24,3995
4620756.04,24,3220
4620756.05,24,2920
4620757,24,2465
4620758.03,24,2205
4620758.04,24,2810
4620758.05,24,2380
4620758.06,24,3090
4620760,24,3720
4620775,24,1355
4620776,24,1440
4620777.01,24,1830
4620777.02,24,2350
4620780,24,1515
4620781,24,1830
4620782,24,1385
4620783,24,1750
4620784,24,1235
4620785,24,1795
4620786,24,2335
4620787,24,3650
4620788,24,2720
4620789,24,3720
4620790,24,3915
4620791,24,4260
4620792,24,2310
4620800.01,24,2205
4620800.02,24,2305
4620801,24,3435
4620802,24,1745
4620804.01,24,3495
4620804.02,24,995
4620805,24,3705
4620806.01,24,1620
4620806.02,24,2420
4620807.01,24,4365
4620807.02,24,2010
4620825.01,24,7175
4620825.02,24,1890
4620825.03,24,2610
4620825.04,24,2585
4620825.05,24,2390
4620826.02,24,2305
4620826.05,24,2035
4620826.06,24,1820
4620826.07,24,1570
4620826.08,24,1670
4620826.09,24,1665
4620826.1,24,3520
4620826.11,24,1880
4620826.13,24,2190
4620826.14,24,3720
4620827.02,24,3510
4620827.03,24,3890
4620827.04,24,4970
4620828.03,24,3015
4620828.04,24,2115
4620828.05,24,2890
4620828.06,24,3080
4620829,24,4105
4620830.01,24,4010
4620830.03,24,3345
4620830.04,24,2480
4620831.03,24,2390
4620831.04,24,2790
4620831.05,24,2555
4620831.08,24,3310
4620831.09,24,2305
4620833,24,3350
4620850.01,24,4975
4620850.03,24,2610
4620850.04,24,2260
4620850.05,24,2005
4620851,24,2540
4620852.01,24,3840
4620852.02,24,405
4620853.02,24,3080
4620853.03,24,3245
4620853.04,24,3100
4620854.01,24,2740
4620854.02,24,3165
4620855.01,24,2670
4620855.03,24,3050
4620855.04,24,1595
4620856,24,1065
4620857.01,24,2745
4620857.02,24,2260
4620857.06,24,3270
4620857.07,24,4185
4620857.08,24,2500
4620857.09,24,2865
4620857.1,24,2610
4620857.11,24,1770
4620857.12,24,2030
4620858.01,24,2390
4620858.02,24,2035
