,COVs_POP,COVs_EMP,empdense_CT11,CTUID
1,0.277626884,0.273970965,2440.479109,3561
2,0.423991088,0.38481271,4271.44378,3388
3,0.451150016,0.436449763,13648.66812,2092
4,0.573862779,0.644225,1147.053249,3819
5,1.574769878,1.334558331,106.9796642,99
6,0.219966541,0.331427159,2948.938167,1223
7,0.614769887,0.57907751,1410.78539,3492
8,0.700370376,0.71719999,556.4987926,1698
9,0.679080508,0.662779114,6877.556621,1027
10,0.578206078,0.777029891,2766.73695,1463
11,0.862470923,0.88714226,25289.80883,2132
12,0.285757338,0.347406024,3950.280873,3943
13,0.460761481,0.461884215,1585.440981,2634
14,1.377756105,1.392685327,206.944833,1343
15,0.353770397,0.326169078,6773.895468,2427
16,0.43635408,0.569279495,2131.374803,3310
17,0.882723092,0.743503524,4079.258481,700
18,0.597137621,0.597665211,3277.042279,5359
19,0.785705042,NA,3663.381323,2464
20,1.195414096,1.196323173,13.92374006,4109
21,1.761944902,1.626424629,0.71339065,4187
22,0.641323932,0.700054803,655.3556497,3939
23,0.759781109,0.698464089,2548.69938,2751
24,0.286795707,0.372896373,3013.765388,1861
25,0.382168964,0.46011152,35109.25608,767
26,0.685634773,0.757498058,4586.723115,5052
27,0.493770769,0.564210497,3631.171519,2586
28,0.444946639,0.325739812,6500.906917,5162
29,0.541343788,0.528448576,1973.423347,2684
30,0.145345364,0.167684205,7310.107032,2509
31,0.289120468,0.313473023,2549.330329,3542
32,0.261761067,0.258539371,5630.825539,5192
33,0.567135728,0.499241984,1771.827364,1371
34,0.589708455,0.700655606,3867.297366,1173
35,0.148207591,0.267272342,3018.755032,4092
36,0.323754135,0.377724669,4379.653753,4624
37,0.474473484,0.487537596,4616.375331,3927
38,0.170903271,0.241349298,2073.898396,3713
39,NA,NA,7.421942747,1842
40,0.360983357,0.379106788,5963.239847,2640
41,0.4330095,0.489462807,535.5825515,5031
42,0.176206425,0.192562816,5711.272136,3934
43,0.119499099,0.120198442,5679.413314,2147
44,0.348845331,0.334860806,4713.858745,1194
45,0.613674915,0.685640592,2130.046767,2965
46,0.386310095,0.470743067,7048.763578,2925
47,0.91584615,0.989031488,45.9085179,128
48,0.252096768,0.247068376,3301.111166,5299
49,0.372034334,0.42735715,3009.415761,4844
50,0.358444987,0.181553088,2797.245587,1943
51,0.199946788,0.319152485,2919.496688,1937
52,0.373380407,0.213331768,21713.62342,2374
53,0.745044129,0.546139369,2486.35874,2264
54,0.30270118,0.407189741,2601.768985,3950
55,0.7283517,0.873195367,217.5528648,222
56,0.461009238,0.486950768,466.0027605,5017
57,0.443586966,0.462089813,6400.918861,1628
58,1.000938302,0.708779777,4295.844385,3952
59,0.517799778,0.487164183,3578.332188,8
60,0.138628111,0.205767919,6239.893922,1079
61,0.475972646,0.469294669,2832.117367,3391
62,0.69178951,NA,6446.235965,2891
63,0.410178591,0.524612906,3121.684634,3280
64,0.484961163,0.533983107,1962.580646,3439
65,0.409633834,0.478412214,8703.708903,2011
66,0.608992026,0.547768904,2197.746222,5315
67,0.617281338,0.594206522,134.5826147,3881
68,0.444134945,0.466450061,2118.812406,1794
69,0.538970901,0.506689408,2776.925398,3123
70,0.924464935,0.801387845,4439.560704,3092
71,0.464749078,0.581797018,3649.540739,2685
72,0.794629837,0.697426997,2885.580792,2922
73,0.336118932,0.368136003,3203.971228,4066
74,0.569359794,0.677705093,4133.137172,3006
75,0.648346234,0.864946969,1618.408663,471
76,0.199365952,0.175738414,6373.462542,3932
77,0.325345539,0.420806514,2793.67066,5377
78,0.420868529,0.460781188,5784.589356,927
79,0.877723928,0.91477813,29.90312084,4688
80,0.678555763,0.640712298,1280.533845,3834
81,NA,NA,7180.835637,2620
82,0.279965563,0.340658255,4827.871828,2823
83,0.61170366,0.805387802,2859.636712,4925
84,0.160153096,0.122677165,7084.185638,3155
85,0.328927204,NA,8069.506197,2023
86,0.305616972,0.336481063,17500.51472,2393
87,0.818471515,0.788049016,140.2820979,504
88,1.726773014,1.578876949,4030.389923,2314
89,0.449837414,0.463668085,3188.299297,1037
90,0.381140925,0.421911469,3628.82987,2920
91,0.401594055,0.366528714,12406.14482,2022
92,0.840887404,0.750443472,4187.458562,2377
93,0.463192433,0.491523262,3426.482906,4852
94,0.565660688,0.573089969,662.8524665,81
95,1.278316126,1.323649017,26.13188185,162
96,0.707650268,0.657143322,232.9752356,211
97,0.394615315,0.424862266,3881.659907,4397
98,NA,NA,1290.791538,2687
99,0.354663488,0.365268207,4343.87147,2351
100,0.272926403,0.26640809,2961.554595,3966
101,0.846571588,0.856031565,508.2859122,253
102,0.907029486,0.906529468,2354.59329,3234
103,0.323149199,0.409771082,3612.248148,29
104,0.473869659,0.58805387,16703.33252,660
105,0.398975537,0.422676006,2150.819182,3657
106,0.319282762,0.367270751,20710.49445,880
107,0.158398209,0.188738726,3227.398406,4399
108,0.208050101,0.174207211,3977.263156,1717
109,0.266164155,0.415060675,3155.75289,4813
110,0.507660876,0.530162316,532.961532,3036
111,0.802409384,0.673801799,2772.079184,5331
112,0.626369163,0.682886077,1627.040827,4270
113,0.457891053,0.36938847,3835.7949,2460
114,1.712738858,1.738563822,61.65972156,460
115,0.239574252,0.329402901,3818.123359,3094
116,0.236546911,0.371248447,4856.860931,5325
117,1.305307981,1.355002622,8.382870431,233
118,0.829437175,0.832364795,857.0771719,3495
119,0.518610772,0.544554106,17114.59861,750
120,0.664394701,0.783220956,798.7521091,104
121,0.485014335,0.614010392,3677.214902,2936
122,0.578696572,0.615085449,3215.068022,3738
